task_id,n,Fc_over_F,F_over_Fc,F,Fc,J,gamma_mu,zeta,simulation_time,alpha,dt,nums,timestamp
1,1,1.0,1.0,1.1828571428571428e-11,1.1828571428571428e-11,0.00011627087004872127,0.9894207306951285,1.0065662862101696e-07,216.90723776817322,0.07,0.001,1000000,20251006_021422
2,1,1.1,0.9090909090909091,1.0753246753246752e-11,1.1828571428571428e-11,0.00010536717118308203,0.9862978560796388,1.0065662862101696e-07,218.56813788414001,0.07,0.001,1000000,20251006_021801
3,1,1.2000000000000002,0.8333333333333333,9.857142857142855e-12,1.1828571428571428e-11,9.624293078647752e-05,0.9827887332030284,1.0065662862101696e-07,212.4383466243744,0.07,0.001,1000000,20251006_022133
4,1,1.3000000000000003,0.769230769230769,9.098901098901096e-12,1.1828571428571428e-11,8.842138123162725e-05,0.9781618720819123,1.0065662862101696e-07,214.14294862747192,0.07,0.001,1000000,20251006_022507
5,1,1.4000000000000004,0.7142857142857141,8.448979591836732e-12,1.1828571428571428e-11,8.164405926929454e-05,0.9726637002321312,1.0065662862101696e-07,220.21614933013916,0.07,0.001,1000000,20251006_022848
6,1,1.5000000000000004,0.6666666666666665,7.885714285714283e-12,1.1828571428571428e-11,7.562698584073935e-05,0.9653351810233238,1.0065662862101696e-07,219.19921803474426,0.07,0.001,1000000,20251006_023227
7,1,1.6000000000000005,0.6249999999999998,7.39285714285714e-12,1.1828571428571428e-11,7.015985142867858e-05,0.9552536959523789,1.0065662862101696e-07,220.45733618736267,0.07,0.001,1000000,20251006_023607
8,1,1.7000000000000006,0.5882352941176469,6.957983193277308e-12,1.1828571428571428e-11,6.504417471248722e-05,0.9409518758713155,1.0065662862101696e-07,220.26965069770813,0.07,0.001,1000000,20251006_023948
9,1,1.8000000000000007,0.5555555555555554,6.571428571428569e-12,1.1828571428571428e-11,5.988192386042145e-05,0.9172301738676786,1.0065662862101696e-07,218.69350051879883,0.07,0.001,1000000,20251006_024326
10,1,1.9000000000000008,0.526315789473684,6.225563909774433e-12,1.1828571428571428e-11,5.361401118923999e-05,0.8668460707126384,1.0065662862101696e-07,218.37889766693115,0.07,0.001,1000000,20251006_024705
11,1,2.000000000000001,0.4999999999999998,5.9142857142857115e-12,1.1828571428571428e-11,3.2705409772386595e-05,0.5566211110507508,1.0065662862101696e-07,214.6428668498993,0.07,0.001,1000000,20251006_025039
12,1,2.100000000000001,0.47619047619047594,5.632653061224486e-12,1.1828571428571428e-11,3.2255831786611344e-08,0.0005764181187294919,1.0065662862101696e-07,213.9287452697754,0.07,0.001,1000000,20251006_025413
13,1,2.200000000000001,0.4545454545454543,5.3766233766233736e-12,1.1828571428571428e-11,3.21725329310797e-08,0.0006023071493385676,1.0065662862101696e-07,221.72332119941711,0.07,0.001,1000000,20251006_025755
14,1,2.300000000000001,0.43478260869565194,5.14285714285714e-12,1.1828571428571428e-11,3.215833782315397e-08,0.0006294069186483583,1.0065662862101696e-07,219.57759809494019,0.07,0.001,1000000,20251006_030135
15,1,2.4000000000000012,0.41666666666666646,4.928571428571426e-12,1.1828571428571428e-11,3.2084199383095484e-08,0.0006552583012564736,1.0065662862101696e-07,217.6752905845642,0.07,0.001,1000000,20251006_030512
16,1,2.5000000000000013,0.3999999999999998,4.731428571428569e-12,1.1828571428571428e-11,3.204444224659165e-08,0.0006817149353284911,1.0065662862101696e-07,216.84894680976868,0.07,0.001,1000000,20251006_030849
17,1,2.6000000000000014,0.3846153846153844,4.549450549450547e-12,1.1828571428571428e-11,3.206298326819822e-08,0.0007093937529881905,1.0065662862101696e-07,220.69909715652466,0.07,0.001,1000000,20251006_031230
18,1,2.7000000000000015,0.3703703703703702,4.380952380952379e-12,1.1828571428571428e-11,3.2038892162228566e-08,0.000736124611585297,1.0065662862101696e-07,216.19656920433044,0.07,0.001,1000000,20251006_021421
19,1,2.8000000000000016,0.35714285714285693,4.224489795918364e-12,1.1828571428571428e-11,3.1970465168753355e-08,0.0007617580808081449,1.0065662862101696e-07,219.10075092315674,0.07,0.001,1000000,20251006_021801
20,1,2.9000000000000017,0.34482758620689635,4.078817733990145e-12,1.1828571428571428e-11,3.1939057408520014e-08,0.0007881886491970683,1.0065662862101696e-07,216.92561173439026,0.07,0.001,1000000,20251006_022138
21,1,3.0000000000000018,0.33333333333333315,3.942857142857141e-12,1.1828571428571428e-11,3.1942460271678456e-08,0.0008154544393353442,1.0065662862101696e-07,219.71611952781677,0.07,0.001,1000000,20251006_022517
22,1,3.100000000000002,0.32258064516129015,3.815668202764975e-12,1.1828571428571428e-11,3.188829062120418e-08,0.0008412072685176585,1.0065662862101696e-07,220.29434180259705,0.07,0.001,1000000,20251006_022858
23,1,3.200000000000002,0.31249999999999983,3.696428571428569e-12,1.1828571428571428e-11,3.1941809559723995e-08,0.0008698003492311005,1.0065662862101696e-07,219.92034339904785,0.07,0.001,1000000,20251006_023237
24,1,3.300000000000002,0.3030303030303028,3.5844155844155817e-12,1.1828571428571428e-11,3.1892095822533776e-08,0.0008955855618728611,1.0065662862101696e-07,217.78853273391724,0.07,0.001,1000000,20251006_023615
25,1,3.400000000000002,0.2941176470588234,3.4789915966386535e-12,1.1828571428571428e-11,3.1914139240696315e-08,0.0009233622939514812,1.0065662862101696e-07,217.04816007614136,0.07,0.001,1000000,20251006_023952
26,1,3.500000000000002,0.28571428571428553,3.3795918367346915e-12,1.1828571428571428e-11,3.179870493877041e-08,0.0009470819519861386,1.0065662862101696e-07,218.4562692642212,0.07,0.001,1000000,20251006_024331
27,1,3.6000000000000023,0.2777777777777776,3.2857142857142837e-12,1.1828571428571428e-11,3.183842452357942e-08,0.0009753582309581523,1.0065662862101696e-07,220.23403882980347,0.07,0.001,1000000,20251006_024711
28,1,3.7000000000000024,0.2702702702702701,3.1969111969111947e-12,1.1828571428571428e-11,3.184089282940065e-08,0.0010025292312114272,1.0065662862101696e-07,218.9943606853485,0.07,0.001,1000000,20251006_025050
29,1,3.8000000000000025,0.2631578947368419,3.1127819548872156e-12,1.1828571428571428e-11,3.1772127470397086e-08,0.001027400981384591,1.0065662862101696e-07,220.4026153087616,0.07,0.001,1000000,20251006_025431
30,1,3.9000000000000026,0.2564102564102562,3.0329670329670305e-12,1.1828571428571428e-11,3.1764713876070406e-08,0.0010541918105679718,1.0065662862101696e-07,218.21083974838257,0.07,0.001,1000000,20251006_025809
31,1,4.000000000000003,0.24999999999999983,2.957142857142855e-12,1.1828571428571428e-11,3.1788144355957906e-08,0.0010820199075807987,1.0065662862101696e-07,217.96846985816956,0.07,0.001,1000000,20251006_030147
32,1,4.100000000000003,0.24390243902439004,2.885017421602785e-12,1.1828571428571428e-11,3.175910435352735e-08,0.0011080572159849033,1.0065662862101696e-07,219.0411877632141,0.07,0.001,1000000,20251006_030526
33,1,4.200000000000003,0.23809523809523794,2.8163265306122427e-12,1.1828571428571428e-11,3.1746998693364805e-08,0.0011346503406390346,1.0065662862101696e-07,218.58324646949768,0.07,0.001,1000000,20251006_030904
34,1,4.3000000000000025,0.23255813953488358,2.7508305647840515e-12,1.1828571428571428e-11,3.177748390789333e-08,0.001162781320367604,1.0065662862101696e-07,220.4225788116455,0.07,0.001,1000000,20251006_031245
35,1,4.400000000000003,0.22727272727272713,2.6883116883116864e-12,1.1828571428571428e-11,3.1785339526565114e-08,0.0011901168790169887,1.0065662862101696e-07,216.279305934906,0.07,0.001,1000000,20251006_021422
36,1,4.5000000000000036,0.22222222222222204,2.628571428571426e-12,1.1828571428571428e-11,3.173623334489348e-08,0.0012152845530102264,1.0065662862101696e-07,217.72575998306274,0.07,0.001,1000000,20251006_021759
37,1,4.600000000000003,0.21739130434782594,2.5714285714285694e-12,1.1828571428571428e-11,3.171886925609559e-08,0.001241611172273659,1.0065662862101696e-07,221.5881631374359,0.07,0.001,1000000,20251006_022141
38,1,4.700000000000003,0.21276595744680837,2.5167173252279616e-12,1.1828571428571428e-11,3.1738570239309935e-08,0.0012693906643849678,1.0065662862101696e-07,219.59454226493835,0.07,0.001,1000000,20251006_022520
39,1,4.800000000000003,0.20833333333333318,2.4642857142857122e-12,1.1828571428571428e-11,3.170206498056579e-08,0.001294907876456645,1.0065662862101696e-07,217.87921476364136,0.07,0.001,1000000,20251006_022858
40,1,4.900000000000004,0.20408163265306106,2.413994169096208e-12,1.1828571428571428e-11,3.176067015755495e-08,0.0013243287915647877,1.0065662862101696e-07,221.82762122154236,0.07,0.001,1000000,20251006_023240
41,1,5.0000000000000036,0.19999999999999984,2.3657142857142835e-12,1.1828571428571428e-11,3.1720010661305765e-08,0.001349625925780694,1.0065662862101696e-07,220.15525650978088,0.07,0.001,1000000,20251006_023620
42,1,5.100000000000003,0.1960784313725489,2.3193277310924355e-12,1.1828571428571428e-11,3.175200144451217e-08,0.0013780068140128142,1.0065662862101696e-07,221.18494153022766,0.07,0.001,1000000,20251006_024002
43,1,5.200000000000004,0.19230769230769218,2.274725274725273e-12,1.1828571428571428e-11,3.1652978309756136e-08,0.0014006447802181402,1.0065662862101696e-07,219.25769996643066,0.07,0.001,1000000,20251006_024341
44,1,5.300000000000004,0.18867924528301872,2.2318059299191357e-12,1.1828571428571428e-11,3.169749952685364e-08,0.0014295882071632322,1.0065662862101696e-07,222.11117458343506,0.07,0.001,1000000,20251006_024723
